Lançamento,forecast_hour,Horizonte,u(1)1000,v(1)1000,u(2)1000,v(2)1000,u(3)1000,v(3)1000,u(4)1000,v(4)1000,Observação (m/s)
2022-04-30 21:00:00,2022-05-01 00:00:00,3,-0.9289844036102296,3.8861474990844727,-4.23898458480835,8.216147422790527,-2.818984270095825,7.14614725112915,-0.6289843916893005,3.0261473655700684,4.8
2022-04-30 21:00:00,2022-05-01 09:00:00,12,-3.8502588272094727,4.358381271362305,-6.440258979797363,6.768381118774414,-5.840258598327637,6.078381538391113,-3.3102588653564453,3.9483814239501953,3.2
2022-04-30 21:00:00,2022-05-01 18:00:00,21,-2.517763614654541,3.0440943241119385,-5.477763652801514,5.434094429016113,-4.437763690948486,4.724094390869141,-1.8377636671066284,2.004094123840332,5.3
2022-04-30 21:00:00,2022-05-01 15:00:00,18,-4.632712364196777,3.3094823360443115,-5.482712268829346,5.699482440948486,-5.232712268829346,4.829482555389404,-4.702712535858154,2.759482383728028,4.0
2022-04-30 21:00:00,2022-05-01 03:00:00,6,-0.7072582840919495,3.7962279319763184,-3.427258253097534,8.53622817993164,-2.1572582721710205,7.19622802734375,-0.6172583103179932,3.516227960586548,3.7
2022-04-30 21:00:00,2022-05-01 21:00:00,24,-1.7790429592132568,2.575139045715332,-5.04904317855835,5.085139274597168,-4.159042835235596,4.335139274597168,-0.7290429472923279,2.145139217376709,4.0
2022-04-30 21:00:00,2022-05-01 12:00:00,15,-5.128879547119141,3.5600953102111816,-6.358879566192627,5.720095157623291,-5.808879375457764,5.16009521484375,-4.8188796043396,3.360095262527466,3.1
2022-04-30 21:00:00,2022-05-01 06:00:00,9,-0.9946948289871216,3.6305127143859854,-4.944694995880127,8.040513038635254,-3.444694757461548,6.810512542724609,-0.394694834947586,3.040512800216675,3.6
2022-05-01 03:00:00,2022-05-02 03:00:00,24,-0.7649853229522705,2.7150440216064453,-4.304985523223877,4.875043869018555,-2.844985246658325,4.51504373550415,-0.0949853509664535,2.3750438690185547,2.1
2022-05-01 03:00:00,2022-05-01 21:00:00,18,-1.6700537204742432,2.9503540992736816,-5.670053482055664,5.280354022979736,-4.030053615570068,4.80035400390625,-0.7000536918640137,2.4603540897369385,4.0
2022-05-01 03:00:00,2022-05-01 15:00:00,12,-4.590678691864014,3.287839412689209,-5.720678806304932,5.6278395652771,-5.150678634643555,4.827839374542236,-4.830678939819336,2.6278393268585205,4.0
2022-05-01 03:00:00,2022-05-01 12:00:00,9,-4.829553127288818,4.036611557006836,-6.639553070068359,6.066611289978027,-5.689553260803223,5.686611175537109,-4.469552993774414,3.856611251831055,3.1
2022-05-01 03:00:00,2022-05-02 00:00:00,21,-1.077243685722351,2.397868633270264,-5.577243804931641,4.397868633270264,-3.9072437286376953,4.237868785858154,-0.1572436541318893,2.327868700027466,3.4
2022-05-01 03:00:00,2022-05-01 09:00:00,6,-3.577055692672729,4.475978851318359,-6.497055530548096,7.0959792137146,-5.917055606842041,6.505979061126709,-3.397055625915528,4.06597900390625,3.2
2022-05-01 03:00:00,2022-05-01 06:00:00,3,-1.3418993949890137,3.775710344314575,-5.451899528503418,8.32571029663086,-3.951899528503418,6.995710372924805,-0.5318993926048279,3.215710401535034,3.6
2022-05-01 03:00:00,2022-05-01 18:00:00,15,-2.525439500808716,3.181765079498291,-5.615439414978027,5.801764965057373,-4.595439434051514,5.1517653465271,-1.8654394149780276,2.381765127182007,5.3
2022-05-01 09:00:00,2022-05-01 12:00:00,3,-4.953561782836914,3.716245174407959,-6.613562107086182,5.896245002746582,-5.693562030792236,5.486245155334473,-4.443562030792236,3.8162450790405273,3.1
2022-05-01 09:00:00,2022-05-02 09:00:00,24,-3.484311580657959,3.6147828102111816,-5.82431173324585,5.794782638549805,-4.834311485290527,5.344782829284668,-3.154311418533325,3.3747828006744385,2.5
2022-05-01 09:00:00,2022-05-02 06:00:00,21,-0.9792431592941284,2.939387321472168,-5.979243278503418,5.219387054443359,-4.039243221282959,4.5893874168396,-0.4192431569099426,2.699387311935425,2.1
2022-05-01 09:00:00,2022-05-01 21:00:00,12,-1.9058740139007568,2.7708423137664795,-6.475873947143555,4.920842170715332,-4.995873928070068,4.110842227935791,-0.4758740365505218,2.290842294692993,4.0
2022-05-01 09:00:00,2022-05-02 03:00:00,18,-0.8534325957298279,2.682253360748291,-5.3934326171875,4.742253303527832,-3.963432550430298,4.282253265380859,-0.0734326168894767,2.3522534370422363,2.1
2022-05-01 09:00:00,2022-05-01 15:00:00,6,-4.506088733673096,3.4898462295532227,-6.186089038848877,6.119846343994141,-5.626089096069336,5.349846363067627,-4.786088943481445,3.209846258163452,4.0
2022-05-01 09:00:00,2022-05-01 18:00:00,9,-2.550854444503784,3.206955671310425,-6.550854682922363,5.476955413818359,-5.340854644775391,4.776955604553223,-1.4908545017242432,2.656955480575561,5.3
2022-05-01 09:00:00,2022-05-02 00:00:00,15,-1.1562939882278442,2.620790958404541,-6.276293754577637,4.450790882110596,-4.596293926239014,4.03079080581665,-0.0662939473986625,2.360790967941284,3.4
2022-05-01 15:00:00,2022-05-02 06:00:00,15,-0.6025024652481079,3.068488836288452,-5.312502384185791,5.498488903045654,-3.362502336502075,4.748488903045654,-0.1725024431943893,2.768488883972168,2.1
2022-05-01 15:00:00,2022-05-01 18:00:00,3,-2.426931142807007,3.2923924922943115,-6.056931018829346,5.73239278793335,-4.896931171417236,4.852392673492432,-1.4469311237335205,2.492392539978028,5.3
